Genes	Preferred_name	Description
Tco_015565		Si ch73-330k17.3
Tco_015566		Insulin growth factor-binding protein homologues
Tco_015568	Fas2	It is involved in the biological process described with cell adhesion
Tco_015574		CD80-like C2-set immunoglobulin domain
Tco_015578		Immunoglobulin domain
Tco_015579	METTL23	methyltransferase activity
Tco_015580		transposition
Tco_015583		Beat protein
Tco_015584		TMEM192 family
Tco_015589	pnt	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015590		DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015594		Cation transporter/ATPase, N-terminus
Tco_015597	ANAPC13	complex subunit 13
Tco_015598		Abscisic acid G-protein coupled receptor
Tco_015609		Rhodopsin-like GPCR transmembrane domain
Tco_015610	BACE1	amyloid-beta metabolic process
Tco_015611		VPS10
Tco_015612		cell adhesion
Tco_015612		positive regulation of basement membrane assembly involved in embryonic body morphogenesis
Tco_015615		Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain
Tco_015616		DNA polymerase
Tco_015617	mRpL40	ribosomal protein L40
Tco_015618		sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015619	USP25	Belongs to the peptidase C19 family
Tco_015619	USP25	Ubiquitin specific peptidase 25
Tco_015620		protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_015621		ribosomal protein L41
Tco_015623	DSCR3	Down syndrome critical region
Tco_015624		Metallo-beta-lactamase superfamily
Tco_015625		protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Tco_015628		GTP binding
Tco_015631		Ring finger domain
Tco_015632	ABHD10	Mycophenolic acid acyl-glucuronide esterase, mitochondrial
Tco_015633	ABHD10	Abhydrolase domain containing 10
Tco_015634	ABHD10	mycophenolic acid acyl-glucuronide esterase activity
Tco_015635	Tango7	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Tco_015636		Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family
Tco_015638		Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family
Tco_015639		ABC protein, subfamily ABCG
Tco_015640		Domain of unknown function (DUF4782)
Tco_015641	ZDHHC23	Belongs to the DHHC palmitoyltransferase family
Tco_015642		peptidyl-dipeptidase activity. It is involved in the biological process described with proteolysis
Tco_015646	dx	Zinc ion binding
Tco_015647		SprT-like zinc ribbon domain
Tco_015648		dephospho-CoA kinase activity. It is involved in the biological process described with coenzyme A biosynthetic process
Tco_015649		detection of mechanical stimulus
Tco_015650		polycystic kidney disease protein 1-like
Tco_015651	GHITM	Growth hormone inducible transmembrane protein
Tco_015653	NHLH1	Helix-loop-helix DNA-binding domain
Tco_015655		caax prenyl protease
Tco_015656		DIX domain
Tco_015659	PPP2R1A	meiotic spindle elongation
Tco_015662		Zinc finger protein
Tco_015664		Zinc finger protein
Tco_015665	RBM42	RNA binding
Tco_015666		Belongs to the DHHC palmitoyltransferase family
Tco_015667		Immunoglobulin V-set domain
Tco_015669	POLR1E	RNA polymerase I transcription factor binding
Tco_015670		N-acetyltransferase activity
Tco_015671		Immunoglobulin V-set domain
Tco_015674		Electron
Tco_015675	HMBS	Porphobilinogen deaminase
Tco_015676		dsRNA-gated channel SID-1
Tco_015678		It is involved in the biological process described with signal transduction
Tco_015680		NFRKB Winged Helix-like
Tco_015682		BTG family
Tco_015684		It is involved in the biological process described with ER to Golgi vesicle-mediated transport
Tco_015685	COG8	Conserved oligomeric Golgi complex subunit 8
Tco_015690	KAT7	response to dithiothreitol
Tco_015690	KAT7	histone acetyltransferase activity
Tco_015696		Zinc finger HIT domain-containing protein 2-like
Tco_015697	SC5D	Belongs to the sterol desaturase family
Tco_015699	BSX	eating behavior
Tco_015700		Leucine rich repeat
Tco_015701		Leucine-rich transmembrane protein
Tco_015703		Leucine rich repeat
Tco_015705		WD40 repeats
Tco_015706		Predicted membrane protein (DUF2053)
Tco_015707		Lipase activity. It is involved in the biological process described with cholesterol metabolic process
Tco_015708		Hormone-sensitive lipase (HSL) N-terminus
Tco_015709		Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity
Tco_015710		It is involved in the biological process described with regulation of signaling
Tco_015711	Plip	phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_015712	copd	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins
Tco_015713	eIF3-S5	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Tco_015714		Ligated ion channel L-glutamate- and glycine-binding site
Tco_015715	VIMP	VCP-interacting membrane protein
Tco_015716	MAN2C1	Alpha-mannosidase 2C1
Tco_015717		It is involved in the biological process described with transmembrane transport
Tco_015718		Major Facilitator Superfamily
Tco_015721	robo	roundabout
Tco_015723	robo	roundabout
Tco_015724		Peptidase family M13
Tco_015726		Transporter activity. It is involved in the biological process described with transmembrane transport
Tco_015727		Presenilin enhancer-2 subunit of gamma secretase
Tco_015728	U2af38	Splicing factor U2af 38 kDa
Tco_015728	U2af38	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Tco_015729	FAM21A	WASH complex subunit
Tco_015731		IQ calmodulin-binding motif
Tco_015732	RABAC1	proline-rich region binding
Tco_015733		Pre-mRNA-splicing factor of RES complex
Tco_015734		It is involved in the biological process described with intraciliary transport
Tco_015735		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_015738	CA4	carbonic anhydrase
Tco_015744		CD80-like C2-set immunoglobulin domain
Tco_015745		Beat protein
Tco_015746		XRN-Two Binding Domain, XTBD
Tco_015747		XRN-Two Binding Domain, XTBD
Tco_015748		XRN-Two Binding Domain, XTBD
Tco_015749		XRN-Two Binding Domain, XTBD
Tco_015750		XRN-Two Binding Domain, XTBD
Tco_015751		actin binding
Tco_015752		7 transmembrane receptor (Secretin family)
Tco_015756		Etoposide-induced protein 2.4 homolog
Tco_015757		Hsp70 protein
Tco_015758		protein capicua homolog
Tco_015760	pdm2	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015763	DEDD	Death effector
Tco_015771		Immunoglobulin like
Tco_015776		Immunoglobulin like
Tco_015780		C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Tco_015781	CLEC4E	carbohydrate binding
Tco_015786		ML domain
Tco_015787		7tm Chemosensory receptor
Tco_015788		7tm Chemosensory receptor
Tco_015791		7tm Chemosensory receptor
Tco_015792	CTU1	tRNA thio-modification
Tco_015793	OLIG3	spinal cord motor neuron migration
Tco_015795		BTB POZ domain-containing protein
Tco_015796	Eyg	DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015799		Leucine-rich repeats, typical (most populated) subfamily
Tco_015801	RpS25	ribosomal protein
Tco_015802		Pex19 protein family
Tco_015803		Leucine Rich Repeat
Tco_015804	sgg	It is involved in the biological process described with protein phosphorylation
Tco_015805	GK	glycerol kinase activity
Tco_015806		cytoskeleton organization
Tco_015807		cytoskeleton organization
Tco_015809		FMN binding. It is involved in the biological process described with oxidation-reduction process
Tco_015812		RNA polymerase subunit 8
Tco_015813		Centrosomal protein
Tco_015815		It is involved in the biological process described with transmembrane transport
Tco_015817		It is involved in the biological process described with transmembrane transport
Tco_015817		Major Facilitator Superfamily
Tco_015818	FSTL1	heparin binding
Tco_015819	RpS19a	Structural constituent of ribosome. It is involved in the biological process described with translation
Tco_015821		Membrane-anchoring subunit of succinate dehydrogenase (SDH) that is involved in complex II of the mitochondrial electron transport chain and is responsible for transferring electrons from succinate to ubiquinone (coenzyme Q)
Tco_015822	PSMD9	26S proteasome non-ATPase regulatory subunit 9
Tco_015823	CCDC84	Coiled coil protein 84
Tco_015824		Transferrin receptor-like dimerisation domain
Tco_015826		GTPase activator activity. It is involved in the biological process described with regulation of small GTPase mediated signal transduction
Tco_015828	Vang	It is involved in the biological process described with multicellular organismal development
Tco_015829	RRP1B	ribosomal RNA processing
Tco_015830		ankyrin repeats
Tco_015831	TEN1	Telomere-capping, CST complex subunit
Tco_015832		Belongs to the peptidase C19 family
Tco_015833	bbx	high mobility group
Tco_015834		ankyrin repeats
Tco_015836		Ligand-gated ion channel
Tco_015837		Ligand-gated ion channel
Tco_015838		extracellularly glutamate-gated ion channel activity
Tco_015839		Eukaryotic homologues of bacterial periplasmic substrate binding proteins.
Tco_015840		endodeoxyribonuclease activity, producing 5'-phosphomonoesters
Tco_015841		Damaged DNA binding. It is involved in the biological process described with single strand break repair
Tco_015842	XRCC1	X-ray repair complementing defective repair in Chinese hamster cells 1
Tco_015846		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_015850		G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway
Tco_015851	ATP6V1A	cellular response to increased oxygen levels
Tco_015852	mRpL17	Structural constituent of ribosome. It is involved in the biological process described with translation
Tco_015853		Belongs to the heat shock protein 70 family
Tco_015854	Appl	Transition metal ion binding
Tco_015855		AAA domain (Cdc48 subfamily)
Tco_015856		activity. It is involved in the biological process described with metabolic process
Tco_015857	JhI-1	It is involved in the biological process described with tRNA processing
Tco_015858		Coagulation Factor Xa inhibitory site
Tco_015859		protein serine/threonine kinase activity
Tco_015860	TADA2A	Transcriptional adapter 2-alpha
Tco_015861		Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Tco_015862		Zinc ion binding
Tco_015863		It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015864	TUBGCP5	Gamma-tubulin complex
Tco_015866		FAR-17a/AIG1-like protein
Tco_015867	Lobe	It is involved in the biological process described with negative regulation of TOR signaling
Tco_015868		U3 snoRNA binding
Tco_015869		Vesicle associated protein
Tco_015870	EloA	DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_015871		Solute carrier organic anion transporter family member
Tco_015872		Belongs to the argonaute family
Tco_015873	bib	Belongs to the MIP aquaporin (TC 1.A.8) family
Tco_015874		Converts sphingomyelin to ceramide
Tco_015875		RDD family
Tco_015876	eEF1delta	EF-1 guanine nucleotide exchange domain
Tco_015880	OSR1	Odd-skipped related transciption factor 1
Tco_015881		Metal ion binding
Tco_015882		Metal ion binding
Tco_015884		Alpha/beta hydrolase family
Tco_015885	Jheh2	Catalyzes juvenile hormone hydrolysis
Tco_015886		activity. It is involved in the biological process described with signal transduction
Tco_015890		ubiquitin-protein transferase activity
Tco_015891	FMO5	dimethylaniline monooxygenase N-oxide-forming
Tco_015892	SLC18B1	Solute carrier family 18, subfamily B, member 1
Tco_015893		Mitochondrial and peroxisomal fission factor Mff
Tco_015894	REC114	meiotic recombination protein
Tco_015896		short chain dehydrogenase
Tco_015897		Cytochrome c oxidase biogenesis protein Cmc1 like
Tco_015898	Rpn11	26S proteasome non-ATPase regulatory subunit
Tco_015899	Stam	It is involved in the biological process described with intracellular protein transport
Tco_015900		Transmembrane protein 18
Tco_015901		PAP2 superfamily C-terminal
Tco_015903	NKAIN4	regulation of sodium ion transport
Tco_015904		Translocating chain-associated membrane protein
Tco_015906		nucleic acid binding
Tco_015908		nucleic acid binding
Tco_015909		Metal ion binding
Tco_015912		It is involved in the biological process described with protein insertion into membrane
Tco_015913	Sply	carboxy-lyase activity. It is involved in the biological process described with carboxylic acid metabolic process
Tco_015914		splicing factor
Tco_015915		Belongs to the protein disulfide isomerase family
Tco_015916		It is involved in the biological process described with snRNA processing
Tco_015917		high mobility group
Tco_015918		YTH domain
Tco_015919		Zinc finger, C2H2 type
Tco_015920		Belongs to the short-chain dehydrogenases reductases (SDR) family
Tco_015921		maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Tco_015922		It is involved in the biological process described with cellular protein modification process
Tco_015923		It is involved in the biological process described with cellular protein modification process
Tco_015924	serp	It is involved in the biological process described with
Tco_015925	serp	It is involved in the biological process described with
Tco_015926		Glutaminase activity. It is involved in the biological process described with glutamine metabolic process
Tco_015927		It is involved in the biological process described with fatty acid beta-oxidation
Tco_015929		nucleic acid binding
Tco_015930	mats	Mob1/phocein family
Tco_015931	RBM22	U6 snRNA binding
Tco_015932		Tetraspanin family
Tco_015933		Ankyrin repeat
Tco_015934	TMS1	Serine incorporator (Serinc)
Tco_015935	EFCAB6	calcium ion binding
Tco_015937	EFCAB6	EF-hand calcium-binding domain-containing protein 6
Tco_015938	TMS1	Serine incorporator (Serinc)
Tco_015939		Proteasome inhibitor
Tco_015940		Protein tyrosine serine threonine phosphatase activity. It is involved in the biological process described with protein dephosphorylation
Tco_015941		hydrolase activity, acting on acid anhydrides. It is involved in the biological process described with transcription, DNA-templated
Tco_015942	ALDH8A1	aldehyde dehydrogenase 8 family, member A1
Tco_015943		activity. It is involved in the biological process described with metabolic process
Tco_015944	STT3A	co-translational protein modification
Tco_015945	FKBPL	FK506 binding protein like
Tco_015947	Ars2	Acts as a mediator between the cap-binding complex (CBC) and RNA-mediated gene silencing (RNAi). Involved in innate immunity via the short interfering RNAs (siRNAs) processing machinery by restricting the viral RNA production. Also involved microRNA (miRNA)-mediated silencing by contributing to the stability and delivery of primary miRNA transcripts to the primary miRNA processing complex
Tco_015948		Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5- methylthiopentene (DHK-MTPene)
Tco_015949		Catalyzes the formation of formate and 2-keto-4- methylthiobutyrate (KMTB) from 1,2-dihydroxy-3-keto-5- methylthiopentene (DHK-MTPene)
Tco_015950		It is involved in the biological process described with heparan sulfate proteoglycan biosynthetic process
Tco_015951		GTP binding
Tco_015952		peptidyl-tyrosine sulfation
Tco_015953		Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Tco_015954		Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Tco_015955		Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Tco_015956		Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Tco_015957		adenylate cyclase-activating G-protein coupled receptor signaling pathway
Tco_015959		Protein of unknown function (DUF229)
Tco_015960		Protein of unknown function (DUF229)
Tco_015961		Protein of unknown function (DUF229)
Tco_015963		Protein of unknown function (DUF229)
Tco_015964		sodium channel activity
Tco_015965	SDHC	succinate dehydrogenase cytochrome b560 subunit
Tco_015966	TMEM218	Transmembrane protein 218
Tco_015967	ENPEP	Peptidase family M1 domain
Tco_015968		zinc metalloproteinase
Tco_015969		Zinc-dependent metalloprotease
Tco_015970		7 transmembrane receptor (rhodopsin family)
Tco_015971	IRF1	Interferon regulatory factor
Tco_015972	IPMK	Inositol polyphosphate
Tco_015974	Ipk2	inositol phosphate biosynthetic process
Tco_015975	CYP4V2	cytochrome P450
Tco_015975		Cytochrome P-450
Tco_015976		cytochrome p450
Tco_015977		cytochrome p450
Tco_015978		Immunoglobulin C-2 Type
Tco_015979	IKBKAP	elongator complex
Tco_015980	Dcp2	manganese ion binding
Tco_015981		Domain always found downstream of DENN domain, found in a variety of signalling proteins
Tco_015988	ISL1	positive regulation of granulocyte colony-stimulating factor production
Tco_015989	SCAPER	S phase cyclin A-associated protein in the endoplasmic reticulum
Tco_015991	SVP	ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity. It is involved in the biological process described with
Tco_015992	SVP	ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity. It is involved in the biological process described with
Tco_015994		Fibronectin type 3 domain
Tco_015995		Fibronectin type 3 domain
Tco_015996		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_015999		Protein of unknown function (DUF1115)
Tco_016000		Protein of unknown function (DUF1115)
Tco_016001		Protein of unknown function (DUF1115)
Tco_016002		Protein of unknown function (DUF1115)
Tco_016003	FASN	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity
Tco_016008		Transposase
Tco_016011	Shaw	Voltage-gated potassium channel activity. It is involved in the biological process described with
Tco_016012		Metal ion binding
Tco_016013		Metal ion binding
Tco_016015	NUP88	Nucleoporin 88
Tco_016016		gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process
Tco_016017		gamma-glutamyltransferase activity. It is involved in the biological process described with glutathione metabolic process
Tco_016018		Transglutaminase-like superfamily
Tco_016019	TEKT1	Tektin family
Tco_016035	EFCAB14	It is involved in the biological process described with mitotic chromosome condensation
Tco_016047	EFCAB14	It is involved in the biological process described with mitotic chromosome condensation
Tco_016058		protein autoubiquitination
Tco_016068		protein autoubiquitination
Tco_016076		C-terminal of Roc, COR, domain
Tco_016078		Receptor binding. It is involved in the biological process described with regulation of cell migration
Tco_016080		E3 ubiquitin-protein ligase
Tco_016081	DNAH3	heavy chain
Tco_016083	smurf2	SMAD specific E3 ubiquitin protein ligase 2
Tco_016083	SMURF1	SMAD specific E3 ubiquitin protein ligase 1
Tco_016084		E3 ubiquitin-protein ligase
Tco_016085	DNAH3	heavy chain
Tco_016097	Ac3	Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Tco_016099		Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Tco_016102	Fdh	Alcohol dehydrogenase GroES-like domain
Tco_016103	mRpS29	It is involved in the biological process described with apoptotic process
Tco_016104		Transferase activity, transferring glycosyl groups
Tco_016105	mRpS29	It is involved in the biological process described with apoptotic process
Tco_016106		Transferase activity, transferring glycosyl groups
Tco_016107	IFT81	intraciliary transport involved in cilium assembly
Tco_016108	mRpS29	Mitochondrial ribosomal death-associated protein 3
Tco_016109		Olfactomedin-like domains
Tco_016112	kinesin-3D	Microtubule binding
Tco_016114	PDE2A	negative regulation of protein import into nucleus, translocation
Tco_016115	Sap30	Histone deacetylase complex subunit SAP30 homolog
Tco_016116		Low-density lipoprotein receptor domain class A
Tco_016122		RNA recognition motif
Tco_016124		RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Tco_016141		protein dimerization activity
Tco_016142		MADF
Tco_016145		positive regulation of TOR signaling
Tco_016161		positive regulation of TOR signaling
Tco_016165		queuine tRNA-ribosyltransferase activity
Tco_016167		Ribonuclease H protein
Tco_016168		DDE superfamily endonuclease
Tco_016175		positive regulation of TOR signaling
Tco_016192		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016204		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_016216		Pfam:Cache_1
Tco_016220	RUVBL2	Proposed core component of the chromatin remodeling INO80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair
Tco_016222		Troponin T
Tco_016225		Belongs to the histidine acid phosphatase family
Tco_016226		Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family
Tco_016227		DDE superfamily endonuclease
Tco_016229	CYB5R3	cytochrome-b5 reductase activity, acting on NAD(P)H
Tco_016238		zinc finger
Tco_016246		Cation transmembrane transporter activity. It is involved in the biological process described with transmembrane transport
Tco_016248		Transposase IS4
Tco_016249	RpS16	Belongs to the universal ribosomal protein uS9 family
Tco_016250	ETNK1	Ethanolamine kinase 1
Tco_016250	ETNK1	Ethanolamine kinase
Tco_016251	Fer3HCH	Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation
Tco_016255	TTC17	actin filament polymerization
Tco_016256	TTC17	actin filament polymerization
Tco_016257		proton channel activity
Tco_016258	POGK	pogo transposable element with KRAB domain
Tco_016260	wupA	Troponin
Tco_016261		K02A2.6-like
Tco_016267	ZNF76	nucleic acid-templated transcription
Tco_016268		Transposase IS4
Tco_016272		nucleosome binding
Tco_016274		Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Tco_016275		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016277	SAAL1	Serum amyloid
Tco_016277	SAAL1	Serum amyloid A-like 1
Tco_016278		Eukaryotic homologues of bacterial periplasmic substrate binding proteins.
Tco_016279		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016282		Ligand-gated ion channel
Tco_016284	Nrt	Carboxylesterase family
Tco_016295	KIF3A	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Tco_016296		helix-turn-helix, Psq domain
Tco_016297		signaling receptor binding
Tco_016300	MMAA	cobalamin biosynthetic process
Tco_016301	NNMT	amine N-methyltransferase activity
Tco_016304	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase)
Tco_016305		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016306		It is involved in the biological process described with attachment of GPI anchor to protein
Tco_016307		Metal ion binding
Tco_016308		Catalyzes the reduction of fatty acyl-CoA to fatty alcohols
Tco_016310		Transposase IS4
Tco_016313		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016314		Transferase activity, transferring glycosyl groups
Tco_016316		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016317	GBA	Glycosyl hydrolase family 30 TIM-barrel domain
Tco_016320		Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process
Tco_016325		DDE superfamily endonuclease
Tco_016328	CYP2J2	Belongs to the cytochrome P450 family
Tco_016329		It is involved in the biological process described with signal transduction
Tco_016333		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016345	STAR	positive regulation of bile acid biosynthetic process
Tco_016352		in StAR and phosphatidylcholine transfer protein
Tco_016354	Kr-h2	Uncharacterised protein family (UPF0121)
Tco_016356	RNF14	regulation of androgen receptor signaling pathway
Tco_016357	RNF14	ubiquitin-protein transferase activity
Tco_016358		carbohydrate binding
Tco_016359		WD40 repeats
Tco_016366	FAN1	nuclease 1
Tco_016368		DNA translocase activity
Tco_016368	ERCC6L	DNA excision repair protein ERCC-6-like
Tco_016372		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016378		Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone
Tco_016380		UNC-50 family
Tco_016383	msps	TOG
Tco_016385		Exocyst complex component
Tco_016388		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016389	MPEG1	MAC/Perforin domain
Tco_016393	MPEG1	membrane-attack complex / perforin
Tco_016395		Tetraspanin family
Tco_016400		cellular response to interferon-beta
Tco_016403		Prolyl 4-hydroxylase alpha subunit homologues.
Tco_016404		catalytic activity. It is involved in the biological process described with metabolic process
Tco_016409		DDE superfamily endonuclease
Tco_016412	SAMD3	sterile alpha motif
Tco_016416	TWISTNB	DNA-directed RNA polymerase I subunit
Tco_016422		DNA binding
Tco_016427		transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly
Tco_016430		transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly
Tco_016433		transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly
Tco_016436		signaling receptor binding
Tco_016437		signaling receptor binding
Tco_016439		Tc5 transposase DNA-binding domain
Tco_016440		A disintegrin and metalloproteinase with thrombospondin motifs
Tco_016441		BESS motif
Tco_016443		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016445		A disintegrin and metalloproteinase with thrombospondin motifs
Tco_016446		A disintegrin and metalloproteinase with thrombospondin motifs
Tco_016447		A disintegrin and metalloproteinase with thrombospondin motifs
Tco_016450		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016452		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016456		RNA polymerase II regulatory region DNA binding
Tco_016458	KY	peptidase activity
Tco_016459		Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Tco_016461		C-terminal, D2-small domain, of ClpB protein
Tco_016462		Fucosyltransferase activity. It is involved in the biological process described with protein glycosylation
Tco_016465		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_016467		Alpha-(1,3)-fucosyltransferase C-like
Tco_016468	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
Tco_016469	FUT3	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase activity
Tco_016470	FUT4	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)
Tco_016472		retrotransposable element Tf2 155 kDa protein type 1-like
Tco_016474		Integrase core domain
Tco_016477	Traf6	It is involved in the biological process described with
Tco_016478		L27 domain
Tco_016481		activity. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_016482	sesB	Belongs to the mitochondrial carrier (TC 2.A.29) family
Tco_016483		Transposase
Tco_016486		Cytochrome P450
Tco_016487		Alcohol dehydrogenase transcription factor Myb/SANT-like
Tco_016488	Syx13	Glycosyltransferase like family
Tco_016490		Zinc ion binding
Tco_016491	COMMD9	COMM domain containing 9
Tco_016495		Calcium ion binding
Tco_016496		Belongs to the PI3 PI4-kinase family
Tco_016497	ELP4	Elongation protein 4 homolog (S. cerevisiae)
Tco_016498		Ring finger domain
Tco_016499		nuclease activity
Tco_016513		Haem-NO-binding
Tco_016516		protein ubiquitination
Tco_016517	TRAF5	thioesterase binding
Tco_016522		Haem-NO-binding
Tco_016523		Haem-NO-binding
Tco_016526	ANGPTL1	transmembrane receptor protein tyrosine kinase signaling pathway
Tco_016529		Uncharacterized conserved protein (DUF2045)
Tco_016533		death domain
Tco_016534		Serine-type peptidase activity. It is involved in the biological process described with protein processing involved in protein targeting to mitochondrion
Tco_016538	scf	Calcium ion binding
Tco_016538	scf	EF hand
Tco_016539		SIKE family
Tco_016540		Surface antigen
Tco_016542	FBXO47	F-box only protein 47
Tco_016543		MADF
Tco_016557		Plays an essential role in the assembly of succinate dehydrogenase (SDH), an enzyme complex (also referred to as respiratory complex II) that is a component of both the tricarboxylic acid (TCA) cycle and the mitochondrial electron transport chain, and which couples the oxidation of succinate to fumarate with the reduction of ubiquinone (coenzyme Q) to ubiquinol. Required for flavinylation (covalent attachment of FAD) of the flavoprotein subunit of the SDH catalytic dimer
Tco_016566		metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Tco_016567		Prolyl 4-hydroxylase alpha subunit homologues.
Tco_016569		Possible membrane-associated motif in LPS-induced tumor necrosis factor alpha factor (LITAF), also known as PIG7, and other animal proteins.
Tco_016574		Belongs to the small GTPase superfamily. Arf family
Tco_016575		zinc finger
Tco_016576		zinc finger
Tco_016577	PEX16	ER-dependent peroxisome localization
Tco_016579		Glycosyl-transferase for dystroglycan
Tco_016580		Glycosyl-transferase for dystroglycan
Tco_016586		Zinc ion binding
Tco_016587	cathD	aspartic-type endopeptidase activity
Tco_016588	cathD	Xylanase inhibitor N-terminal
Tco_016589	DDB1	positive regulation by virus of viral protein levels in host cell
Tco_016592	aop	sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Tco_016593		Single-stranded DNA binding. It is involved in the biological process described with DNA replication
Tco_016594		identical protein binding
Tco_016607		positive regulation of TOR signaling
Tco_016624		Reverse transcriptase (RNA-dependent DNA polymerase)
Tco_016646		positive regulation of TOR signaling
Tco_016649	SAMD3	Sterile alpha motif.
